t/h,Elapsed Time (s),Voltage(V)
0.07,2.52E+02,3.08795
0.070277778,2.53E+02,3.08822
0.070555556,2.54E+02,3.08797
0.070833333,2.55E+02,3.08773
0.071111111,2.56E+02,3.08742
0.071388889,2.57E+02,3.08776
0.071666667,2.58E+02,3.08725
0.071944444,2.59E+02,3.08749
0.072222222,2.60E+02,3.08792
0.0725,2.61E+02,3.08773
0.072777778,2.62E+02,3.08775
0.073055556,2.63E+02,3.08758
0.073333333,2.64E+02,3.08759
0.073611111,2.65E+02,3.0873
0.073888889,2.66E+02,3.08769
0.074166667,2.67E+02,3.08724
0.074444444,2.68E+02,3.0877
0.074722222,2.69E+02,3.08724
0.075,2.70E+02,3.08764
0.075277778,2.71E+02,3.0874
0.075555556,2.72E+02,3.08732
0.075833333,2.73E+02,3.08716
0.076111111,2.74E+02,3.0874
0.076388889,2.75E+02,3.08746
0.076666667,2.76E+02,3.08704
0.076944444,2.77E+02,3.08762
0.077222222,2.78E+02,3.08682
0.0775,2.79E+02,3.0875
0.077777778,2.80E+02,3.08699
0.078055556,2.81E+02,3.0868
0.078333333,2.82E+02,3.0869
0.078611111,2.83E+02,3.08673
0.078888889,2.84E+02,3.08656
0.079166667,2.85E+02,3.08679
0.079444444,2.86E+02,3.08718
0.079722222,2.87E+02,3.08691
0.08,2.88E+02,3.08671
0.080277778,2.89E+02,3.08679
0.080555556,2.90E+02,3.08655
0.080833333,2.91E+02,3.08723
0.081111111,2.92E+02,3.08624
0.081388889,2.93E+02,3.0868
0.081666667,2.94E+02,3.08638
0.081944444,2.95E+02,3.08604
0.082222222,2.96E+02,3.08632
0.0825,2.97E+02,3.0861
0.082777778,2.98E+02,3.08595
0.083055556,2.99E+02,3.086
0.083333333,3.00E+02,3.08594
0.083611111,3.01E+02,3.08588
0.083888889,3.02E+02,3.08625
0.084166667,3.03E+02,3.08577
0.084444444,3.04E+02,3.08595
0.084722222,3.05E+02,3.08579
0.085,3.06E+02,3.08561
0.085277778,3.07E+02,3.08599
0.085555556,3.08E+02,3.0856
0.085833333,3.09E+02,3.08572
0.086111111,3.10E+02,3.08535
0.086388889,3.11E+02,3.08566
0.086666667,3.12E+02,3.08521
0.086944444,3.13E+02,3.08533
0.087222222,3.14E+02,3.08534
0.0875,3.15E+02,3.08533
0.087777778,3.16E+02,3.08579
0.088055556,3.17E+02,3.0851
0.088333333,3.18E+02,3.08562
0.088611111,3.19E+02,3.08542
0.088888889,3.20E+02,3.08518
0.089166667,3.21E+02,3.0852
0.089444444,3.22E+02,3.0851
0.089722222,3.23E+02,3.08515
0.09,3.24E+02,3.08494
0.090277778,3.25E+02,3.08514
0.090555556,3.26E+02,3.08459
0.090833333,3.27E+02,3.08501
0.091111111,3.28E+02,3.08476
0.091388889,3.29E+02,3.08476
0.091666667,3.30E+02,3.08479
0.091944444,3.31E+02,3.08472
0.092222222,3.32E+02,3.08497
0.0925,3.33E+02,3.08473
0.092777778,3.34E+02,3.08461
0.093055556,3.35E+02,3.08446
0.093333333,3.36E+02,3.08423
0.093611111,3.37E+02,3.08441
0.093888889,3.38E+02,3.08406
0.094166667,3.39E+02,3.08466
0.094444444,3.40E+02,3.08365
0.094722222,3.41E+02,3.08418
0.095,3.42E+02,3.0841
0.095277778,3.43E+02,3.08389
0.095555556,3.44E+02,3.08419
0.095833333,3.45E+02,3.08382
0.096111111,3.46E+02,3.08441
0.096388889,3.47E+02,3.08381
0.096666667,3.48E+02,3.08396
0.096944444,3.49E+02,3.08365
0.097222222,3.50E+02,3.08347
0.0975,3.51E+02,3.08372
0.097777778,3.52E+02,3.08339
0.098055556,3.53E+02,3.08379
0.098333333,3.54E+02,3.08318
0.098611111,3.55E+02,3.08327
0.098888889,3.56E+02,3.08331
0.099166667,3.57E+02,3.08305
0.099444444,3.58E+02,3.08313
0.099722222,3.59E+02,3.08283
0.1,3.60E+02,3.08305
0.100277778,3.61E+02,3.08249
0.100555556,3.62E+02,3.08324
0.100833333,3.63E+02,3.0823
0.101111111,3.64E+02,3.0826
0.101388889,3.65E+02,3.08274
0.101666667,3.66E+02,3.08255
0.101944444,3.67E+02,3.08309
0.102222222,3.68E+02,3.08234
0.1025,3.69E+02,3.08258
0.102777778,3.70E+02,3.08278
0.103055556,3.71E+02,3.08277
0.103333333,3.72E+02,3.08252
0.103611111,3.73E+02,3.08265
0.103888889,3.74E+02,3.0827
0.104166667,3.75E+02,3.08267
0.104444444,3.76E+02,3.08294
0.104722222,3.77E+02,3.08248
0.105,3.78E+02,3.08319
0.105277778,3.79E+02,3.08239
0.105555556,3.80E+02,3.08243
0.105833333,3.81E+02,3.08212
0.106111111,3.82E+02,3.08266
0.106388889,3.83E+02,3.08227
0.106666667,3.84E+02,3.08227
0.106944444,3.85E+02,3.08226
0.107222222,3.86E+02,3.08201
0.1075,3.87E+02,3.08283
0.107777778,3.88E+02,3.08208
0.108055556,3.89E+02,3.08184
0.108333333,3.90E+02,3.08215
0.108611111,3.91E+02,3.08167
0.108888889,3.92E+02,3.0816
0.109166667,3.93E+02,3.0813
0.109444444,3.94E+02,3.08149
0.109722222,3.95E+02,3.08103
0.11,3.96E+02,3.08153
0.110277778,3.97E+02,3.08087
0.110555556,3.98E+02,3.08087
0.110833333,3.99E+02,3.0812
0.111111111,4.00E+02,3.08078
0.111388889,4.01E+02,3.08141
0.111666667,4.02E+02,3.08077
0.111944444,4.03E+02,3.08068
0.112222222,4.04E+02,3.08083
0.1125,4.05E+02,3.08076
0.112777778,4.06E+02,3.08141
0.113055556,4.07E+02,3.08101
0.113333333,4.08E+02,3.08109
0.113611111,4.09E+02,3.08134
0.113888889,4.10E+02,3.08118
0.114166667,4.11E+02,3.08126
0.114444444,4.12E+02,3.08113
0.114722222,4.13E+02,3.08116
0.115,4.14E+02,3.08123
0.115277778,4.15E+02,3.08087
0.115555556,4.16E+02,3.08118
0.115833333,4.17E+02,3.08046
0.116111111,4.18E+02,3.08074
0.116388889,4.19E+02,3.08071
0.116666667,4.20E+02,3.08058
0.116944444,4.21E+02,3.08149
0.117222222,4.22E+02,3.08048
0.1175,4.23E+02,3.08089
0.117777778,4.24E+02,3.08063
0.118055556,4.25E+02,3.08038
0.118333333,4.26E+02,3.0804
0.118611111,4.27E+02,3.08104
0.118888889,4.28E+02,3.08144
0.119166667,4.29E+02,3.081
0.119444444,4.30E+02,3.08152
0.119722222,4.31E+02,3.08126
0.12,4.32E+02,3.08095
0.120277778,4.33E+02,3.08095
0.120555556,4.34E+02,3.08099
0.120833333,4.35E+02,3.08121
0.121111111,4.36E+02,3.08047
0.121388889,4.37E+02,3.08049
0.121666667,4.38E+02,3.08084
0.121944444,4.39E+02,3.08035
0.122222222,4.40E+02,3.0808
0.1225,4.41E+02,3.08074
0.122777778,4.42E+02,3.08065
0.123055556,4.43E+02,3.08057
0.123333333,4.44E+02,3.08037
0.123611111,4.45E+02,3.0809
0.123888889,4.46E+02,3.08041
0.124166667,4.47E+02,3.08074
0.124444444,4.48E+02,3.08036
0.124722222,4.49E+02,3.08028
0.125,4.50E+02,3.08032
0.125277778,4.51E+02,3.08016
0.125555556,4.52E+02,3.08029
0.125833333,4.53E+02,3.07999
0.126111111,4.54E+02,3.07983
0.126388889,4.55E+02,3.0805
0.126666667,4.56E+02,3.07955
0.126944444,4.57E+02,3.08
0.127222222,4.58E+02,3.07978
0.1275,4.59E+02,3.07961
0.127777778,4.60E+02,3.08004
0.128055556,4.61E+02,3.07944
0.128333333,4.62E+02,3.08007
0.128611111,4.63E+02,3.08056
0.128888889,4.64E+02,3.08024
0.129166667,4.65E+02,3.08109
0.129444444,4.66E+02,3.08053
0.129722222,4.67E+02,3.08061
0.13,4.68E+02,3.08067
0.130277778,4.69E+02,3.08055
0.130555556,4.70E+02,3.08033
0.130833333,4.71E+02,3.08012
0.131111111,4.72E+02,3.07983
0.131388889,4.73E+02,3.08069
0.131666667,4.74E+02,3.08012
0.131944444,4.75E+02,3.07971
0.132222222,4.76E+02,3.08003
0.1325,4.77E+02,3.07999
0.132777778,4.78E+02,3.0797
0.133055556,4.79E+02,3.08006
0.133333333,4.80E+02,3.07965
0.133611111,4.81E+02,3.07961
0.133888889,4.82E+02,3.0797
0.134166667,4.83E+02,3.07899
0.134444444,4.84E+02,3.07936
0.134722222,4.85E+02,3.07918
0.135,4.86E+02,3.07886
0.135277778,4.87E+02,3.07968
0.135555556,4.88E+02,3.07904
0.135833333,4.89E+02,3.07879
0.136111111,4.90E+02,3.07928
0.136388889,4.91E+02,3.07922
0.136666667,4.92E+02,3.07924
0.136944444,4.93E+02,3.07929
0.137222222,4.94E+02,3.07885
0.1375,4.95E+02,3.07888
0.137777778,4.96E+02,3.0788
0.138055556,4.97E+02,3.07826
0.138333333,4.98E+02,3.07882
0.138611111,4.99E+02,3.07858
0.138888889,5.00E+02,3.07837
0.139166667,5.01E+02,3.07922
0.139444444,5.02E+02,3.0786
0.139722222,5.03E+02,3.07843
0.14,5.04E+02,3.07903
0.140277778,5.05E+02,3.07823
0.140555556,5.06E+02,3.07837
0.140833333,5.07E+02,3.07866
0.141111111,5.08E+02,3.07798
0.141388889,5.09E+02,3.07817
0.141666667,5.10E+02,3.07817
0.141944444,5.11E+02,3.07786
0.142222222,5.12E+02,3.07814
0.1425,5.13E+02,3.07775
0.142777778,5.14E+02,3.07773
0.143055556,5.15E+02,3.0785
0.143333333,5.16E+02,3.07757
0.143611111,5.17E+02,3.07723
0.143888889,5.18E+02,3.0778
0.144166667,5.19E+02,3.07723
0.144444444,5.20E+02,3.0773
0.144722222,5.21E+02,3.0779
0.145,5.22E+02,3.07726
0.145277778,5.23E+02,3.07737
0.145555556,5.24E+02,3.07751
0.145833333,5.25E+02,3.07756
0.146111111,5.26E+02,3.07737
0.146388889,5.27E+02,3.07764
0.146666667,5.28E+02,3.07724
0.146944444,5.29E+02,3.07735
0.147222222,5.30E+02,3.07749
0.1475,5.31E+02,3.07715
0.147777778,5.32E+02,3.07696
0.148055556,5.33E+02,3.07743
0.148333333,5.34E+02,3.07697
0.148611111,5.35E+02,3.07684
0.148888889,5.36E+02,3.07704
0.149166667,5.37E+02,3.07684
0.149444444,5.38E+02,3.07651
0.149722222,5.39E+02,3.07761
0.15,5.40E+02,3.07705
0.150277778,5.41E+02,3.07694
0.150555556,5.42E+02,3.07769
0.150833333,5.43E+02,3.07725
0.151111111,5.44E+02,3.07689
0.151388889,5.45E+02,3.07773
0.151666667,5.46E+02,3.07703
0.151944444,5.47E+02,3.07697
0.152222222,5.48E+02,3.0775
0.1525,5.49E+02,3.0768
0.152777778,5.50E+02,3.0769
0.153055556,5.51E+02,3.07681
0.153333333,5.52E+02,3.07645
0.153611111,5.53E+02,3.07697
0.153888889,5.54E+02,3.07653
0.154166667,5.55E+02,3.07634
0.154444444,5.56E+02,3.07708
0.154722222,5.57E+02,3.07663
0.155,5.58E+02,3.07659
0.155277778,5.59E+02,3.07694
0.155555556,5.60E+02,3.07649
0.155833333,5.61E+02,3.07656
0.156111111,5.62E+02,3.07674
0.156388889,5.63E+02,3.07647
0.156666667,5.64E+02,3.07705
0.156944444,5.65E+02,3.07683
0.157222222,5.66E+02,3.0766
0.1575,5.67E+02,3.07694
0.157777778,5.68E+02,3.07641
0.158055556,5.69E+02,3.07666
0.158333333,5.70E+02,3.07668
0.158611111,5.71E+02,3.07643
0.158888889,5.72E+02,3.07703
0.159166667,5.73E+02,3.07639
0.159444444,5.74E+02,3.07637
0.159722222,5.75E+02,3.07698
0.16,5.76E+02,3.07626
0.160277778,5.77E+02,3.07641
0.160555556,5.78E+02,3.07645
0.160833333,5.79E+02,3.07613
0.161111111,5.80E+02,3.07673
0.161388889,5.81E+02,3.07649
0.161666667,5.82E+02,3.07649
0.161944444,5.83E+02,3.07669
0.162222222,5.84E+02,3.07635
0.1625,5.85E+02,3.07695
0.162777778,5.86E+02,3.07658
0.163055556,5.87E+02,3.07642
0.163333333,5.88E+02,3.0766
0.163611111,5.89E+02,3.07689
0.163888889,5.90E+02,3.07647
0.164166667,5.91E+02,3.07676
0.164444444,5.92E+02,3.07643
0.164722222,5.93E+02,3.07679
0.165,5.94E+02,3.07624
0.165277778,5.95E+02,3.07621
0.165555556,5.96E+02,3.07627
0.165833333,5.97E+02,3.07639
0.166111111,5.98E+02,3.07611
0.166388889,5.99E+02,3.07598
0.166666667,6.00E+02,3.07603
0.166944444,6.01E+02,3.0763
0.167222222,6.02E+02,3.07558
0.1675,6.03E+02,3.0764
0.167777778,6.04E+02,3.07544
0.168055556,6.05E+02,3.07553
0.168333333,6.06E+02,3.07585
0.168611111,6.07E+02,3.07587
0.168888889,6.08E+02,3.07624
0.169166667,6.09E+02,3.07603
0.169444444,6.10E+02,3.07583
0.169722222,6.11E+02,3.07628
0.17,6.12E+02,3.07568
0.170277778,6.13E+02,3.07634
0.170555556,6.14E+02,3.07577
0.170833333,6.15E+02,3.07584
0.171111111,6.16E+02,3.07573
0.171388889,6.17E+02,3.07568
0.171666667,6.18E+02,3.07566
0.171944444,6.19E+02,3.07545
0.172222222,6.20E+02,3.07597
0.1725,6.21E+02,3.07545
0.172777778,6.22E+02,3.07555
0.173055556,6.23E+02,3.07565
0.173333333,6.24E+02,3.0751
0.173611111,6.25E+02,3.07625
0.173888889,6.26E+02,3.07513
0.174166667,6.27E+02,3.07543
0.174444444,6.28E+02,3.07544
0.174722222,6.29E+02,3.07519
0.175,6.30E+02,3.07558
0.175277778,6.31E+02,3.07525
0.175555556,6.32E+02,3.07564
0.175833333,6.33E+02,3.07537
0.176111111,6.34E+02,3.07565
0.176388889,6.35E+02,3.07528
0.176666667,6.36E+02,3.07503
0.176944444,6.37E+02,3.07516
0.177222222,6.38E+02,3.07485
0.1775,6.39E+02,3.0756
0.177777778,6.40E+02,3.07477
0.178055556,6.41E+02,3.07528
0.178333333,6.42E+02,3.07533
0.178611111,6.43E+02,3.07499
0.178888889,6.44E+02,3.07503
0.179166667,6.45E+02,3.0749
0.179444444,6.46E+02,3.07514
0.179722222,6.47E+02,3.07502
0.18,6.48E+02,3.07569
0.180277778,6.49E+02,3.07483
0.180555556,6.50E+02,3.07536
0.180833333,6.51E+02,3.07513
0.181111111,6.52E+02,3.07474
0.181388889,6.53E+02,3.07542
0.181666667,6.54E+02,3.07444
0.181944444,6.55E+02,3.07509
0.182222222,6.56E+02,3.07481
0.1825,6.57E+02,3.07463
0.182777778,6.58E+02,3.07458
0.183055556,6.59E+02,3.0744
0.183333333,6.60E+02,3.07482
0.183611111,6.61E+02,3.07446
0.183888889,6.62E+02,3.07525
0.184166667,6.63E+02,3.07473
0.184444444,6.64E+02,3.07443
0.184722222,6.65E+02,3.07496
0.185,6.66E+02,3.07456
0.185277778,6.67E+02,3.07471
0.185555556,6.68E+02,3.07434
0.185833333,6.69E+02,3.07424
0.186111111,6.70E+02,3.07459
0.186388889,6.71E+02,3.07427
0.186666667,6.72E+02,3.07496
0.186944444,6.73E+02,3.07462
0.187222222,6.74E+02,3.07433
0.1875,6.75E+02,3.0742
0.187777778,6.76E+02,3.07424
0.188055556,6.77E+02,3.07443
0.188333333,6.78E+02,3.07409
0.188611111,6.79E+02,3.07467
0.188888889,6.80E+02,3.07425
0.189166667,6.81E+02,3.0743
0.189444444,6.82E+02,3.07429
0.189722222,6.83E+02,3.07432
0.19,6.84E+02,3.07534
0.190277778,6.85E+02,3.07462
0.190555556,6.86E+02,3.0745
0.190833333,6.87E+02,3.07477
0.191111111,6.88E+02,3.07443
0.191388889,6.89E+02,3.07465
0.191666667,6.90E+02,3.07477
0.191944444,6.91E+02,3.07458
0.192222222,6.92E+02,3.07466
0.1925,6.93E+02,3.0747
0.192777778,6.94E+02,3.07467
0.193055556,6.95E+02,3.07423
0.193333333,6.96E+02,3.07481
0.193611111,6.97E+02,3.07431
0.193888889,6.98E+02,3.07533
0.194166667,6.99E+02,3.07452
0.194444444,7.00E+02,3.07437
0.194722222,7.01E+02,3.07481
0.195,7.02E+02,3.07445
0.195277778,7.03E+02,3.07479
0.195555556,7.04E+02,3.07527
0.195833333,7.05E+02,3.07485
0.196111111,7.06E+02,3.07504
0.196388889,7.07E+02,3.0749
0.196666667,7.08E+02,3.07531
0.196944444,7.09E+02,3.07501
0.197222222,7.10E+02,3.07581
0.1975,7.11E+02,3.07505
0.197777778,7.12E+02,3.07483
0.198055556,7.13E+02,3.07565
0.198333333,7.14E+02,3.07559
0.198611111,7.15E+02,3.07593
0.198888889,7.16E+02,3.0755
0.199166667,7.17E+02,3.07533
0.199444444,7.18E+02,3.07566
0.199722222,7.19E+02,3.0752
0.2,7.20E+02,3.07617
0.200277778,7.21E+02,3.07561
0.200555556,7.22E+02,3.07535
0.200833333,7.23E+02,3.07569
0.201111111,7.24E+02,3.07552
0.201388889,7.25E+02,3.076
0.201666667,7.26E+02,3.07582
0.201944444,7.27E+02,3.07616
0.202222222,7.28E+02,3.07578
0.2025,7.29E+02,3.0757
0.202777778,7.30E+02,3.07621
0.203055556,7.31E+02,3.07618
0.203333333,7.32E+02,3.07647
0.203611111,7.33E+02,3.07612
0.203888889,7.34E+02,3.07587
0.204166667,7.35E+02,3.07628
0.204444444,7.36E+02,3.07562
0.204722222,7.37E+02,3.07584
0.205,7.38E+02,3.07596
0.205277778,7.39E+02,3.07541
0.205555556,7.40E+02,3.07623
0.205833333,7.41E+02,3.07611
0.206111111,7.42E+02,3.07618
0.206388889,7.43E+02,3.07637
